Age,Industry,JobTitle,AnnualSalary,AdditionalCompensation,State,City,YearsExperience,YearsInField,Education,Gender,Race,TotalCompensation,id
25-34,Computing or Tech,content marketing manager,82500,0.0,Oregon,Portland,5-7 years,5-7 years,College degree,Woman,White,82500.0,41.0
35-44,Computing or Tech,Project Manager,70000,6000.0,Minnesota,Saint Paul Park,11 - 20 years,5-7 years,College degree,Woman,White,76000.0,27.0
35-44,Law,eDiscovery Project Manager,160000,10000.0,New York,New York,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White,170000.0,36.0
35-44,Education (Higher Education),Research Development Specialist,82000,0.0,Rhode Island,Providence,5-7 years,2 - 4 years,PhD,Woman,White,82000.0,44.0
45-54,"Accounting, Banking & Finance",Program accountant ,55000,0.0,New Mexico,Albuquerque ,11 - 20 years,11 - 20 years,College degree,Woman,White,55000.0,35.0
35-44,Health care,"Associate Director, marketing",217000,68000.0,California,San Francisco ,11 - 20 years,11 - 20 years,College degree,Woman,White,285000.0,6.0
25-34,Computing or Tech,Director of Data Science,180000,0.0,California,San Francisco,2 - 4 years,2 - 4 years,PhD,Woman,Asian or Asian American,180000.0,6.0
35-44,Health care,Nurse Practitioner ,118268,0.0,California,Bishop ,31 - 40 years,2 - 4 years,Master's degree,Woman,White,118268.0,6.0
35-44,Nonprofits,Coordinator ,38000,0.0,Idaho,Idaho Falls ,11 - 20 years,8 - 10 years,College degree,Woman,White,38000.0,16.0
35-44,Education (Higher Education),Academic Services Director,100000,0.0,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White,100000.0,53.0
35-44,Law,Staff Attorney,64000,0.0,New York,New York City,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,64000.0,36.0
35-44,Education (Higher Education),Associate Director,67000,0.0,California,San Diego,8 - 10 years,5-7 years,PhD,Woman,White,67000.0,6.0
25-34,Nonprofits,Development and Data Specialist,52000,0.0,Virginia,Arlington,5-7 years,5-7 years,Master's degree,Woman,White,52000.0,51.0
45-54,"Accounting, Banking & Finance",Senior Executive Assistant,80000,10000.0,Texas,Irving,31 - 40 years,31 - 40 years,Some college,Woman,White,90000.0,48.0
25-34,Computing or Tech,Senior Technical Program Manager Lead,138000,15000.0,Washington,Bellevue,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",153000.0,53.0
35-44,"Accounting, Banking & Finance",Accounting Assistant ,45000,0.0,Virginia,Alexandria ,8 - 10 years,5-7 years,College degree,Woman,White,45000.0,51.0
25-34,Computing or Tech,Software Developer / Consultant,120000,0.0,California,Redlands,11 - 20 years,11 - 20 years,Master's degree,Woman,White,120000.0,6.0
35-44,"Accounting, Banking & Finance",Office and Project Manager,40000,5000.0,Pennsylvania,pittsburgh,21 - 30 years,11 - 20 years,College degree,Woman,White,45000.0,42.0
25-34,Nonprofits,Assistant Director of Major Gifts,75000,0.0,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman,White,75000.0,17.0
35-44,Law,Managing Attorney,99500,0.0,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,99500.0,42.0
45-54,Computing or Tech,Human Resources & Payroll Manager,95000,20000.0,California,San Francisco,21 - 30 years,11 - 20 years,College degree,Woman,White,115000.0,6.0
35-44,Computing or Tech,lead software engineer,175000,15000.0,Texas,Austin,21 - 30 years,21 - 30 years,Master's degree,Woman,White,190000.0,48.0
35-44,Nonprofits,Director of education and family engagement,120000,0.0,New York,Brooklyn ,21 - 30 years,11 - 20 years,Master's degree,Woman,White,120000.0,36.0
35-44,"Marketing, Advertising & PR",Project Manager,52500,0.0,Montana,Columbia Falls,11 - 20 years,8 - 10 years,College degree,Woman,White,52500.0,30.0
35-44,"Marketing, Advertising & PR",Paid Search Manager,120000,0.0,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,120000.0,36.0
55-64,Education (Higher Education),Associate Professor,81600,0.0,New York,Fredonia,11 - 20 years,11 - 20 years,PhD,Woman,White,81600.0,36.0
25-34,Nonprofits,Communications & Program Administration Manager,32000,0.0,New York,Jamestown,8 - 10 years,2 - 4 years,Master's degree,Woman,White,32000.0,36.0
35-44,Law,Managing Associate,120000,30000.0,Texas,Houston,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,150000.0,48.0
65 or over,Nonprofits,Major Gift Officer,91000,0.0,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White,91000.0,17.0
25-34,Nonprofits,Membership Relationship Manager,42000,400.0,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,Master's degree,Woman,White,42400.0,42.0
35-44,Education (Higher Education),postdoctoral fellow,55000,0.0,Mississippi,Starkville,8 - 10 years,5-7 years,PhD,Woman,Black or African American,55000.0,28.0
25-34,"Marketing, Advertising & PR",Digital Media Project Manager,112000,16000.0,Washington,Seattle,8 - 10 years,8 - 10 years,College degree,Woman,White,128000.0,53.0
35-44,Computing or Tech,Support Manager,95000,6000.0,New York,Remote,11 - 20 years,8 - 10 years,College degree,Woman,White,101000.0,36.0
18-24,Government and Public Administration,Financial Analyst,68000,0.0,District of Columbia,Washington,1 year or less,1 year or less,Master's degree,Woman,White,68000.0,11.0
35-44,Engineering or Manufacturing,Director,16000,0.0,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Man,White,16000.0,42.0
25-34,"Marketing, Advertising & PR",Marketing and Public Relations Specialist,70000,1000.0,Florida,Miami,5-7 years,2 - 4 years,College degree,Woman,White,71000.0,12.0
35-44,Nonprofits,HR Manager,84000,0.0,District of Columbia,Washington DC,11 - 20 years,8 - 10 years,Master's degree,Man,White,84000.0,11.0
65 or over,Computing or Tech,Admin Assistant,52000,0.0,Alabama,Huntsville,31 - 40 years,31 - 40 years,College degree,Woman,White,52000.0,1.0
25-34,Nonprofits,Director of Development,95000,0.0,California,San Diego,8 - 10 years,1 year or less,College degree,Woman,White,95000.0,6.0
25-34,Computing or Tech,Data Analyst,93013,0.0,District of Columbia,"Washington, D.C.",8 - 10 years,5-7 years,Master's degree,Man,White,93013.0,11.0
25-34,Government and Public Administration,Senior Program Analyst,134782,0.0,District of Columbia,Washington,11 - 20 years,11 - 20 years,College degree,Woman,White,134782.0,11.0
25-34,Law,Associate,170000,20000.0,Pennsylvania,Philadelphia,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,"Asian or Asian American, White",190000.0,42.0
35-44,Health care,Clinical Research Manager,55086,0.0,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,Master's degree,Woman,White,55086.0,26.0
35-44,Law,Attorney (Junior Partner),150000,0.0,Washington,Seattle,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,150000.0,53.0
25-34,Education (Higher Education),postdoctoral scholar,45000,0.0,Virginia,Blacksburg,2 - 4 years,2 - 4 years,PhD,Woman,White,45000.0,51.0
25-34,Engineering or Manufacturing,Project Engineer,72750,0.0,Illinois,Evanston,5-7 years,5-7 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,72750.0,17.0
25-34,Education (Higher Education),Lecturer,75000,0.0,Wisconsin,Madison,2 - 4 years,2 - 4 years,PhD,Woman,White,75000.0,55.0
35-44,Education (Higher Education),Lecturer,67500,1500.0,California,Los Angeles ,11 - 20 years,5-7 years,Master's degree,Non-binary,"Native American or Alaska Native, White",69000.0,6.0
35-44,Computing or Tech,UI/UX Developer,141000,10000.0,Maryland,Bethesda,11 - 20 years,11 - 20 years,College degree,Woman,White,151000.0,24.0
25-34,Computing or Tech,Sr. Campaign Manager,112500,0.0,Virginia,Arlington,8 - 10 years,8 - 10 years,College degree,Woman,White,112500.0,51.0
35-44,Government and Public Administration,Head of Youth Services,55862,0.0,Wisconsin,Whitefish Bay,11 - 20 years,11 - 20 years,Master's degree,Woman,White,55862.0,55.0
25-34,Nonprofits,Fundraising coordinator,38000,0.0,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White,38000.0,17.0
25-34,Government and Public Administration,Management Analyst,80000,0.0,Washington,Olympia,5-7 years,5-7 years,Master's degree,Woman,White,80000.0,53.0
35-44,Education (Primary/Secondary),Instructional Coach,68124,0.0,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White,68124.0,8.0
25-34,Government and Public Administration,Counsel,115000,0.0,District of Columbia,Washington,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,White,115000.0,11.0
45-54,Engineering or Manufacturing,IT Manager,120000,8400.0,Michigan,Plymouth,21 - 30 years,21 - 30 years,College degree,Woman,White,128400.0,26.0
55-64,Health care,Chaplain ,65163,0.0,Massachusetts,Woburn (Greater Boston area; I provide services in a number of towns.),31 - 40 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,65163.0,25.0
25-34,Education (Higher Education),Assoc Dir Data Analysis,85000,0.0,Arizona,Scottsdale,5-7 years,2 - 4 years,College degree,Woman,White,85000.0,4.0
25-34,Law,Associate Attorney,182000,12000.0,District of Columbia,"Washington, D.C.",2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,194000.0,11.0
55-64,Health care,attorney,140000,10000.0,Colorado,Denver,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Woman,White,150000.0,8.0
25-34,Education (Higher Education),Director of Development,85000,0.0,Washington,Pullman,8 - 10 years,8 - 10 years,College degree,Woman,White,85000.0,53.0
35-44,"Accounting, Banking & Finance",Staff Accountant,60000,1000.0,Washington,Walla Walla,11 - 20 years,2 - 4 years,College degree,Woman,White,61000.0,53.0
35-44,Education (Higher Education),web developer,52500,0.0,Alabama,Tuscaloosa,8 - 10 years,8 - 10 years,College degree,Woman,White,52500.0,1.0
25-34,Education (Higher Education),Administrative Assistant ,53000,0.0,Florida,Gainesville ,11 - 20 years,8 - 10 years,College degree,Woman,White,53000.0,12.0
35-44,"Accounting, Banking & Finance",Senior vice president,160000,40000.0,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White,200000.0,17.0
25-34,Computing or Tech,National Success Manager,65000,5000.0,Idaho,Boise,8 - 10 years,5-7 years,College degree,Woman,White,70000.0,16.0
25-34,Nonprofits,Director of Development,90000,0.0,North Carolina,Charlotte,8 - 10 years,8 - 10 years,Master's degree,Woman,White,90000.0,37.0
25-34,Nonprofits,Rabbi Educator,68000,0.0,California,Oakland,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Non-binary,White,68000.0,6.0
25-34,Government and Public Administration,Museum curator ,70288,3000.0,Georgia,Atlanta,11 - 20 years,8 - 10 years,Master's degree,Woman,White,73288.0,13.0
25-34,Law,HR Coordinator & Recruiter,54500,2500.0,Ohio,Cleveland,8 - 10 years,8 - 10 years,Master's degree,Woman,White,57000.0,39.0
25-34,Education (Higher Education),Program Coordinator,46000,0.0,Minnesota,Minneapolis,8 - 10 years,5-7 years,College degree,Woman,White,46000.0,27.0
35-44,Computing or Tech,Data Scientist,150000,0.0,Maryland,Laurel,8 - 10 years,2 - 4 years,PhD,Woman,White,150000.0,24.0
25-34,Education (Higher Education),IT Specialist,55000,0.0,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Non-binary,White,55000.0,42.0
25-34,Education (Higher Education),Assistant Director of Study Abroad,65000,0.0,New York,New York City,8 - 10 years,5-7 years,Master's degree,Woman,White,65000.0,36.0
25-34,Nonprofits,Director of Engagement,65000,0.0,New Jersey,Cherry Hill,5-7 years,5-7 years,College degree,Woman,White,65000.0,34.0
35-44,Education (Higher Education),Library Assistant IV,45000,0.0,California,Irvine,11 - 20 years,8 - 10 years,Master's degree,Man,White,45000.0,6.0
45-54,Education (Higher Education),Project Manager/Research Scientist,95000,0.0,Connecticut,New Haven,31 - 40 years,8 - 10 years,PhD,Other or prefer not to answer,Another option not listed here or prefer not to answer,95000.0,9.0
35-44,"Marketing, Advertising & PR",Digital Marketing Consultant,208000,0.0,Pennsylvania,Philadelphia (but clients everywhere),11 - 20 years,8 - 10 years,College degree,Woman,White,208000.0,42.0
35-44,Computing or Tech,Software Development Lead,1,130000.0,Wisconsin,Madison,8 - 10 years,8 - 10 years,Master's degree,Man,White,130001.0,55.0
45-54,Computing or Tech,"Senior Manager, Strategic Communications",130000,20000.0,District of Columbia,"Washington, DC",21 - 30 years,11 - 20 years,Master's degree,Woman,White,150000.0,11.0
18-24,"Marketing, Advertising & PR",Director of Happenings,35500,0.0,Illinois,Batavia,2 - 4 years,2 - 4 years,Some college,Woman,White,35500.0,17.0
35-44,Engineering or Manufacturing,Materials lab technician,55000,0.0,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer,55000.0,25.0
25-34,Computing or Tech,Finance Associate,95000,20000.0,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,115000.0,6.0
35-44,"Marketing, Advertising & PR",Senior Account Manager,75000,12000.0,Illinois,Chicago,11 - 20 years,8 - 10 years,College degree,Woman,White,87000.0,17.0
35-44,Computing or Tech,Product Manager,80000,8000.0,Michigan,Troy,11 - 20 years,1 year or less,Master's degree,Woman,White,88000.0,26.0
25-34,Government and Public Administration,General Engineer,102000,0.0,Virginia,Arlington,8 - 10 years,5-7 years,College degree,Woman,White,102000.0,51.0
35-44,Engineering or Manufacturing,Associate Product Manager,89000,0.0,Missouri,Kansas City,11 - 20 years,11 - 20 years,Master's degree,Woman,White,89000.0,29.0
35-44,Government and Public Administration,Grant writer,65000,0.0,Washington,Olympia,11 - 20 years,11 - 20 years,Master's degree,Woman,"Native American or Alaska Native, White",65000.0,53.0
25-34,Education (Higher Education),Administrative Assistant ,53000,0.0,Florida,Gainesville ,11 - 20 years,8 - 10 years,College degree,Woman,White,53000.0,12.0
45-54,Nonprofits,Executive Director ,110000,0.0,Massachusetts,Newton,11 - 20 years,11 - 20 years,Master's degree,Woman,White,110000.0,25.0
25-34,Nonprofits,Research and Data Analyst,60000,2000.0,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American,62000.0,6.0
45-54,Nonprofits,Leased Housing ,27000,0.0,West Virginia,Charleston ,31 - 40 years,1 year or less,College degree,Woman,White,27000.0,54.0
25-34,Computing or Tech,Software Engineer,150000,112549.0,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,College degree,Woman,White,262549.0,25.0
25-34,Engineering or Manufacturing,Senior Project Engineer,108160,14000.0,California,San Francisco,5-7 years,5-7 years,College degree,Woman,White,122160.0,6.0
25-34,"Accounting, Banking & Finance",Relationship Manager,135000,45000.0,Arizona,Phoenix,5-7 years,5-7 years,College degree,Other or prefer not to answer,White,180000.0,4.0
25-34,"Marketing, Advertising & PR",Data visualization developer,88000,0.0,California,"Portland, OR",8 - 10 years,2 - 4 years,College degree,Woman,White,88000.0,6.0
25-34,"Accounting, Banking & Finance",Director - Data Operations,113000,1000.0,Virginia,Alexandria,8 - 10 years,8 - 10 years,College degree,Woman,White,114000.0,51.0
25-34,"Marketing, Advertising & PR",Engagement Strategist,142000,3000.0,New York,New York City,8 - 10 years,5-7 years,College degree,Non-binary,White,145000.0,36.0
25-34,"Accounting, Banking & Finance",Customer service representative,47500,4000.0,Colorado,Denver,5-7 years,1 year or less,College degree,Woman,White,51500.0,8.0
45-54,Government and Public Administration,Director of HR,140000,0.0,New York,New York ,21 - 30 years,11 - 20 years,Master's degree,Woman,White,140000.0,36.0
25-34,Computing or Tech,Senior Software Engineer,125000,0.0,Massachusetts,Marlborough,8 - 10 years,8 - 10 years,Master's degree,Man,White,125000.0,25.0
25-34,Education (Higher Education),Philanthropic Advisor,102500,0.0,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White,102500.0,6.0
35-44,Nonprofits,Business Development Manager ,72000,0.0,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White,72000.0,11.0
25-34,Education (Higher Education),Complex Coordinator,36000,0.0,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Non-binary,White,36000.0,48.0
25-34,Computing or Tech,Operations Associate,42000,0.0,California,Sunnyvale,11 - 20 years,2 - 4 years,Some college,Woman,White,42000.0,6.0
35-44,Nonprofits,Director,104000,0.0,New York,Buffalo,11 - 20 years,8 - 10 years,Master's degree,Woman,White,104000.0,36.0
35-44,Nonprofits,Program Manager,56000,0.0,Colorado,Denver,11 - 20 years,8 - 10 years,Master's degree,Woman,White,56000.0,8.0
35-44,"Marketing, Advertising & PR",Commercial Marketing Manager,72000,2000.0,New Jersey,Piscataway,11 - 20 years,5-7 years,Master's degree,Woman,White,74000.0,34.0
35-44,Government and Public Administration,Web Developer,100000,0.0,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White,100000.0,41.0
35-44,Education (Higher Education),medical librarian,75000,0.0,Connecticut,Connecticut,11 - 20 years,5-7 years,Master's degree,Woman,White,75000.0,9.0
35-44,Nonprofits,Director,100000,0.0,Minnesota,St. Paul,8 - 10 years,5-7 years,College degree,Woman,"Black or African American, White",100000.0,27.0
25-34,Education (Primary/Secondary),Library Media Specialist,52386,200.0,Maryland,Indian Head,1 year or less,1 year or less,Master's degree,Woman,White,52586.0,24.0
45-54,Engineering or Manufacturing,Distribution Manager,65000,0.0,Arizona,Tempe,11 - 20 years,11 - 20 years,College degree,Woman,White,65000.0,4.0
25-34,Education (Higher Education),Assistant Professor,89000,0.0,Pennsylvania,State College,5-7 years,5-7 years,PhD,Woman,White,89000.0,42.0
35-44,Law,Associate Attorney,112000,0.0,Massachusetts,Springfield,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,112000.0,25.0
45-54,Engineering or Manufacturing,Tech Writer,75000,0.0,Utah,Salt Lake City,11 - 20 years,11 - 20 years,College degree,Woman,White,75000.0,49.0
45-54,Computing or Tech,IT billing analyst,40000,0.0,Utah,Logan ,11 - 20 years,11 - 20 years,Some college,Woman,White,40000.0,49.0
25-34,Computing or Tech,cloud operations engineer,74000,0.0,Oregon,Portland,8 - 10 years,5-7 years,Some college,Woman,White,74000.0,41.0
45-54,Health care,Lead Medical Technologist,64000,0.0,Michigan,Hancock,11 - 20 years,11 - 20 years,College degree,Woman,White,64000.0,26.0
25-34,Law,Associate,165000,20000.0,Massachusetts,Boston,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,185000.0,25.0
25-34,Education (Higher Education),Campus Career Center Manager,52798,0.0,Texas,Allen,11 - 20 years,8 - 10 years,Master's degree,Woman,White,52798.0,48.0
65 or over,Computing or Tech,Operations Data Analyst,120000,0.0,Washington,Seattle ,31 - 40 years,8 - 10 years,College degree,Woman,White,120000.0,53.0
65 or over,Law,Paralegal,52000,6000.0,West Virginia,Wheeling,41 years or more,31 - 40 years,College degree,Woman,White,58000.0,54.0
25-34,Nonprofits,Librarian,48850,0.0,Wisconsin,Milwaukee,5-7 years,5-7 years,Master's degree,Woman,White,48850.0,55.0
25-34,Nonprofits,Director of Development ,75100,0.0,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Man,White,75100.0,8.0
35-44,Government and Public Administration,Library Director ,86000,0.0,Massachusetts,Anonymous ,21 - 30 years,21 - 30 years,Master's degree,Woman,White,86000.0,25.0
45-54,Computing or Tech,Accountant ,78800,10000.0,Illinois,Itasca,11 - 20 years,8 - 10 years,College degree,Woman,White,88800.0,17.0
45-54,"Accounting, Banking & Finance",Financial Planner,180000,25000.0,California,Los Angeles,21 - 30 years,8 - 10 years,College degree,Woman,White,205000.0,6.0
25-34,Law,Patent assistant,80000,1500.0,"California, Oklahoma","San Jose, CA and Tulsa, OK",8 - 10 years,8 - 10 years,College degree,Woman,White,81500.0,
35-44,Government and Public Administration,Program Research Specialist,92000,0.0,New York,Albany,21 - 30 years,11 - 20 years,Master's degree,Woman,White,92000.0,36.0
25-34,"Marketing, Advertising & PR",Marketing Manager ,40000,0.0,Louisiana,Lafayette ,5-7 years,5-7 years,College degree,Woman,White,40000.0,22.0
35-44,Education (Higher Education),Assistant Professor ,115000,0.0,North Carolina,Chapel Hill,8 - 10 years,5-7 years,PhD,Woman,White,115000.0,37.0
35-44,Computing or Tech,Analyst/Technical Account Manager,80000,5000.0,New York,New York,11 - 20 years,5-7 years,College degree,Woman,White,85000.0,36.0
25-34,Computing or Tech,Vice President Infrastructure,125000,0.0,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,White,125000.0,6.0
25-34,Education (Primary/Secondary),Kindergarten Assistant,28000,0.0,Kentucky,Louisville,11 - 20 years,11 - 20 years,College degree,Woman,White,28000.0,21.0
35-44,Nonprofits,Assistant Director,66000,0.0,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White,66000.0,17.0
18-24,Health care,IRB Analyst II,62000,0.0,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White,62000.0,25.0
25-34,Nonprofits,Communications Director,48000,0.0,California,Orange County,8 - 10 years,5-7 years,College degree,Woman,White,48000.0,6.0
25-34,Engineering or Manufacturing,Office Manager ,60000,0.0,Tennessee,Knoxville,11 - 20 years,8 - 10 years,Master's degree,Woman,White,60000.0,47.0
45-54,Law,Legal Assistant,65000,3000.0,Massachusetts,Worcester,21 - 30 years,11 - 20 years,Master's degree,Woman,White,68000.0,25.0
25-34,Engineering or Manufacturing,Manufacturing Engineer,110000,0.0,California,Alameda,5-7 years,2 - 4 years,College degree,Man,White,110000.0,6.0
35-44,Government and Public Administration,Deputy Executive Director,136000,0.0,California,Sacramento,11 - 20 years,11 - 20 years,Master's degree,Woman,White,136000.0,6.0
25-34,Nonprofits,Associate Editor,46500,0.0,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,Master's degree,Woman,White,46500.0,42.0
35-44,Health care,Clinical Counselor,55000,0.0,Maine,Augusta,11 - 20 years,8 - 10 years,Master's degree,Woman,White,55000.0,23.0
45-54,Engineering or Manufacturing,Director of Administrative Services,120000,0.0,Oregon,portland,21 - 30 years,21 - 30 years,College degree,Woman,White,120000.0,41.0
25-34,"Marketing, Advertising & PR",Social Media Manager,70000,0.0,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,White,70000.0,13.0
35-44,Engineering or Manufacturing,Senior Software Engineer,130000,20000.0,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Man,White,150000.0,41.0
35-44,Engineering or Manufacturing,Quality Assurance Specialist,41912,200.0,Colorado,Denver,5-7 years,5-7 years,College degree,Woman,White,42112.0,8.0
45-54,"Accounting, Banking & Finance",Project Manager,82500,5000.0,Delaware,Wilmington,21 - 30 years,11 - 20 years,College degree,Woman,White,87500.0,10.0
25-34,Computing or Tech,Software Engineer,160000,140000.0,Washington,Seattle,5-7 years,5-7 years,Master's degree,Man,White,300000.0,53.0
25-34,Computing or Tech,Business Operations Manager,70000,0.0,Washington,Seattle,11 - 20 years,5-7 years,Master's degree,Woman,White,70000.0,53.0
35-44,Government and Public Administration,Adult Services Librarian,30000,0.0,Iowa,N/a,11 - 20 years,5-7 years,PhD,Woman,White,30000.0,19.0
25-34,Education (Higher Education),Graduate Student Instructor (as a PhD candidate),34140,0.0,New York,New York City,5-7 years,2 - 4 years,PhD,Woman,White,34140.0,36.0
45-54,Engineering or Manufacturing,Controls Engineer,103000,5000.0,Iowa,Mt Pleasant ,21 - 30 years,21 - 30 years,College degree,Man,White,108000.0,19.0
25-34,Health care,Chiropractic Assistant,29120,0.0,North Dakota,Fargo,8 - 10 years,2 - 4 years,Some college,Woman,White,29120.0,38.0
25-34,Nonprofits,Development Coordinator ,41600,0.0,Massachusetts,Boston,2 - 4 years,1 year or less,College degree,Non-binary,White,41600.0,25.0
45-54,Government and Public Administration,Director Agriculture Programs,167000,0.0,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",167000.0,11.0
55-64,Engineering or Manufacturing,Lead Test Engineer,138100,4500.0,Washington,Redmond,31 - 40 years,31 - 40 years,College degree,Man,White,142600.0,53.0
35-44,Health care,Director of Strategy,168900,16896.0,Pennsylvania,King of Prussia,11 - 20 years,8 - 10 years,Master's degree,Woman,White,185796.0,42.0
35-44,Education (Higher Education),Laboratory Supervisor,67000,0.0,Washington,Seattle,8 - 10 years,8 - 10 years,Master's degree,Woman,White,67000.0,53.0
25-34,Computing or Tech,ux research,170000,75000.0,California,SF Bay,2 - 4 years,2 - 4 years,PhD,Woman,White,245000.0,6.0
35-44,Government and Public Administration,Children's Librarian,77000,0.0,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White,77000.0,11.0
35-44,Law,Director of Operations,96000,0.0,California,Long Beach,21 - 30 years,11 - 20 years,Some college,Woman,White,96000.0,6.0
25-34,Computing or Tech,Software Engineer,205000,0.0,California,San Francisco,8 - 10 years,8 - 10 years,College degree,Man,White,205000.0,6.0
35-44,Nonprofits,IT Specialist,72000,350.0,Illinois,Chicago,21 - 30 years,5-7 years,Master's degree,Woman,White,72350.0,17.0
25-34,Education (Higher Education),"Director, GEAR UP Program",73000,0.0,Nevada,Las Vegas,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",73000.0,32.0
35-44,Government and Public Administration,Geologist,83496,0.0,Missouri,Kansas City,11 - 20 years,8 - 10 years,College degree,Woman,White,83496.0,29.0
25-34,Computing or Tech,Executive Assistant,52000,0.0,Arizona,Chandler,8 - 10 years,5-7 years,College degree,Woman,White,52000.0,4.0
35-44,Law,Attorney,85000,0.0,Arizona,Phoenix,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,85000.0,4.0
45-54,"Marketing, Advertising & PR",Chief Marketing Officer,200000,50000.0,Washington,Seattle,21 - 30 years,11 - 20 years,Master's degree,Woman,White,250000.0,53.0
25-34,Government and Public Administration,Safety Coordinator,45000,0.0,California,Eureka,8 - 10 years,5-7 years,College degree,Woman,White,45000.0,6.0
35-44,Government and Public Administration,Deputy Courtroom Clerk,80000,0.0,California,San Francisco,11 - 20 years,2 - 4 years,College degree,Woman,White,80000.0,6.0
25-34,Nonprofits,Corporate & Foundation Relations Manager,41000,0.0,Montana,Missoula,8 - 10 years,5-7 years,College degree,Woman,White,41000.0,30.0
35-44,Government and Public Administration,Special Project Coordinator,75000,0.0,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White,75000.0,17.0
55-64,Health care,Pathology Admin Coordinator,56000,2500.0,Texas,Dallas,21 - 30 years,11 - 20 years,Some college,Woman,White,58500.0,48.0
25-34,Nonprofits,Grant Manager,75000,0.0,Minnesota,Bloomington,5-7 years,2 - 4 years,College degree,Woman,White,75000.0,27.0
45-54,Government and Public Administration,Administrative Specialist,32676,0.0,Kansas,"WFH (Was Topeka, KS. Now Whiting, KS)",31 - 40 years,8 - 10 years,Some college,Woman,White,32676.0,20.0
25-34,Nonprofits,Project Manager,58000,0.0,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",58000.0,42.0
25-34,Nonprofits,Community Engagement Associate,49500,100.0,Iowa,Des Moines,5-7 years,2 - 4 years,College degree,Woman,White,49600.0,19.0
25-34,"Accounting, Banking & Finance",Regulatory Compliance Manager,200000,80000.0,Iowa,Des Moines,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,280000.0,19.0
55-64,Education (Higher Education),Math Instructor (Tenured),150000,0.0,California,Monterey,31 - 40 years,31 - 40 years,Master's degree,Woman,White,150000.0,6.0
25-34,"Accounting, Banking & Finance",Compliance and Risk Officer,98000,19600.0,Texas,Austin,5-7 years,5-7 years,College degree,Woman,White,117600.0,48.0
